1.000000	1.000000	1.000000	1.000000	2.889879	0.022296
1.000000	1.200000	1.000000	1.000000	2.126791	0.016271
1.000000	1.400000	1.000000	1.000000	1.636826	0.012492
1.000000	1.600000	1.000000	1.000000	1.283961	0.009842
1.000000	1.800000	1.000000	1.000000	1.045711	0.007867
1.000000	2.000000	1.000000	1.000000	0.851300	0.006406
1.000000	2.200000	1.000000	1.000000	0.711891	0.005279
1.000000	2.400000	1.000000	1.000000	0.607817	0.004476
1.000000	2.600000	1.000000	1.000000	0.524215	0.003882
1.000000	2.800000	1.000000	1.000000	0.460482	0.003337
1.000000	3.000000	1.000000	1.000000	0.402724	0.002948
